Rank	Player	Draft Year	Notes	Buy/Sell/Hold
6	Justin Jefferson	2020	Elite player but the future of the QB position is in major flux and that must be accounted for.	Buy
8	Drake London	2022	Underneath separator with downfield upside. Interested to see what happens at QB.	Buy
14	Emeka Egbuka	2025	Good player who may be more of a long-time No. 2 than a WR1.	Buy
17	Garrett Wilson	2022	Was having a really strong season prior to his knee injury. Engstrand's offense is good for him.	Super Buy
13	Rome Odunze	2024	Chicago is crowded with good young pass-catchers but Odunze is worth betting on.	Super Buy
20	Travis Hunter	2025	Really fantastic prospect and got hurt right as he was getting ramped up. Future is murky.	Hold
54	Parker Washington	2023	I feel even better about my Bud Light Golden Tate comp for him as a prospect now.	Buy
56	Mike Evans	2014	Can still play but part of me wonders if he is nearing the end of his career with injuries.	Hold
